K,mse_all,mse_outlier,mse_non_outlier,frac_subnormal,frac_zero,gs_used,gs_optimal,mse_tier_10,mse_tier_60,mse_tier_110,mse_tier_230,mse_tier_350,mse_tier_410
1.0,0.13543204963207245,17.21946907043457,0.06002432480454445,0.0,0.0,6.520287036895752,6.520287036895752,33.80049514770508,2.3474934101104736,16.895551681518555,31.699819564819336,12.324790954589844,6.248667240142822
1.2,0.25236183404922485,43.8088493347168,0.06010660529136658,0.0,0.0,5.433572292327881,6.520287036895752,33.81711196899414,2.1771256923675537,14.306872367858887,1.2449973821640015,12.324999809265137,198.9819793701172
1.4,0.404539555311203,78.43959045410156,0.06009849160909653,0.0,0.0,4.657348155975342,6.520287036895752,33.809505462646484,2.8529927730560303,24.196401596069336,11.657000541687012,391.8731384277344,6.2485270500183105
1.6,0.27690988779067993,49.412109375,0.06003063544631004,0.0,0.0,4.075179100036621,6.520287036895752,33.79037857055664,2.2059924602508545,16.721893310546875,32.44739532470703,12.324999809265137,198.9819793701172
1.8,0.30233028531074524,55.18808364868164,0.060068532824516296,0.0,0.0,3.6223816871643066,6.520287036895752,33.79365158081055,1.2204225063323975,41.58185958862305,74.06107330322266,30.61321449279785,149.85826110839844
2.0,0.13543204963207245,17.21946907043457,0.06002432480454445,0.0,0.0,3.260143518447876,6.520287036895752,33.80049514770508,2.3474934101104736,16.895551681518555,31.699819564819336,12.324790954589844,6.248667240142822
2.2,0.2257891595363617,37.76176071166992,0.06010804697871208,0.0,0.0,2.9637668132781982,6.520287036895752,33.81068420410156,1.1037155389785767,14.30124282836914,11.6568021774292,40.91279220581055,124.78531646728516
2.4,0.25236183404922485,43.8088493347168,0.06010660529136658,0.0,0.0,2.7167861461639404,6.520287036895752,33.81711196899414,2.1771256923675537,14.306872367858887,1.2449973821640015,12.324999809265137,198.9819793701172
2.6,0.21498402953147888,35.30455017089844,0.06010118126869202,0.0,0.0,2.507802724838257,6.520287036895752,33.8121223449707,2.811223030090332,18.56043243408203,1.2450062036514282,30.61321449279785,124.78531646728516
2.8,0.404539555311203,78.43959045410156,0.06009849160909653,0.0,0.0,2.328674077987671,6.520287036895752,33.809505462646484,2.8529927730560303,24.196401596069336,11.657000541687012,391.8731384277344,6.2485270500183105
3.0,0.29811233282089233,54.21577453613281,0.06012362986803055,0.0,0.0,2.173429012298584,6.520287036895752,33.78981399536133,1.439186930656433,38.34147644042969,83.8719482421875,12.324790954589844,155.52745056152344
3.2,0.27690988779067993,49.412109375,0.06003063544631004,0.0,0.0,2.0375895500183105,6.520287036895752,33.79037857055664,2.2059924602508545,16.721893310546875,32.44739532470703,12.324999809265137,198.9819793701172
3.4,0.20061995089054108,32.03065490722656,0.06012442708015442,0.0,0.0,1.9177314043045044,6.520287036895752,33.78963851928711,5.179177284240723,37.78287124633789,23.36588478088379,1.0789990425109863,90.98736572265625
3.6,0.30233028531074524,55.18808364868164,0.060068532824516296,0.0,0.0,1.8111908435821533,6.520287036895752,33.79365158081055,1.2204225063323975,41.58185958862305,74.06107330322266,30.61321449279785,149.85826110839844
3.8,0.32365676760673523,60.02825164794922,0.06012494117021561,0.0,0.0,1.7158650159835815,6.520287036895752,33.80167007446289,6.907329559326172,11.68268871307373,39.41061019897461,174.17723083496094,94.19000244140625
4.0,0.13543204963207245,17.21946907043457,0.06002432480454445,0.0,0.0,1.630071759223938,6.520287036895752,33.80049514770508,2.3474934101104736,16.895551681518555,31.699819564819336,12.324790954589844,6.248667240142822
