g,mse_all,mse_non_outlier,mse_tier_10,mse_tier_60,mse_tier_110,mse_tier_230,mse_tier_350,mse_tier_410,frac_zero,frac_subnormal,frac_clipped
6.520287036895752,0.13543204963207245,0.06002432480454445,33.80049514770508,2.3474934101104736,16.895551681518555,31.699819564819336,12.324790954589844,6.248667240142822,0.0,0.0,0.01171875
1.0,0.5940348505973816,0.06008244678378105,33.79037094116211,1.042241096496582,7.545176029205322,100.7968521118164,100.96398162841797,485.2449951171875,0.0,0.0,0.0
0.1,0.26247480511665344,0.06010991334915161,33.80583572387695,0.9809368252754211,12.836756706237793,25.876928329467773,101.35204315185547,101.8036880493164,0.0,0.000274658203125,0.0
0.1133,0.30197757482528687,0.060060083866119385,33.793617248535156,1.2651844024658203,37.55281066894531,70.4907455444336,34.041770935058594,153.5142364501953,0.0,3.0517578125e-05,0.0
0.1284,0.19845204055309296,0.060017529875040054,33.78973388671875,3.178041696548462,23.296424865722656,14.598125457763672,1.1284010410308838,113.3786392211914,0.0,0.0,0.0
0.1455,0.40378162264823914,0.06009891256690025,33.8094367980957,2.8782098293304443,24.1950626373291,11.235904693603516,390.6733703613281,6.8100738525390625,0.0,0.0,0.0
0.1648,0.3563242256641388,0.06007201597094536,33.81996536254883,1.4868539571762085,33.61806106567383,45.44200134277344,199.72181701660156,90.75476837158203,0.0,0.0,0.0
0.1867,0.17080529034137726,0.060087788850069046,33.808841705322266,0.9035143256187439,14.929412841796875,26.3333740234375,13.35921859741211,62.192447662353516,0.0,0.0,0.0
0.2116,0.31863534450531006,0.06006811931729317,33.8023567199707,7.727705001831055,38.89077377319336,10.989891052246094,95.21405792236328,166.7660675048828,0.0,0.0,0.0
0.2397,0.2001405954360962,0.06012411043047905,33.78964614868164,5.18705415725708,37.76475143432617,23.22086524963379,1.1005773544311523,90.4670181274414,0.0,0.0,0.0
0.2716,0.29563233256340027,0.060126516968011856,33.78977584838867,1.458753228187561,38.15684509277344,82.79344177246094,13.027149200439453,152.67874145507812,0.0,0.0,0.0
0.3077,0.3718563914299011,0.060042548924684525,33.80692672729492,2.442659616470337,23.852937698364258,17.281082153320312,1.9168368577957153,346.7895812988281,0.0,0.0,0.0
0.3486,0.16040687263011932,0.06010806933045387,33.81618881225586,0.9476273059844971,18.15077018737793,39.78339385986328,33.86699295043945,10.73696517944336,0.0,0.0,0.0
0.395,0.4137071669101715,0.06013425439596176,33.80836868286133,1.0643810033798218,31.19496726989746,5.697314739227295,204.13121032714844,207.20948791503906,0.0,0.0,0.0
0.4476,0.25323206186294556,0.06012798845767975,33.793941497802734,1.1172547340393066,35.679115295410156,128.360595703125,2.9943039417266846,62.066986083984375,0.0,0.0,0.0
0.5071,0.3356906473636627,0.06004012003540993,33.79146194458008,1.7283443212509155,13.217364311218262,45.52616882324219,25.715913772583008,256.7358093261719,0.0,0.0,0.0
0.5746,0.33396652340888977,0.06007809564471245,33.80220031738281,3.5940322875976562,23.54518699645996,1.2219901084899902,251.5181884765625,60.62786865234375,0.0,0.0,0.0
0.651,0.39863038063049316,0.06008674204349518,33.823448181152344,0.9779257774353027,25.6812744140625,69.50592041015625,311.9803771972656,20.616483688354492,0.0,0.0,0.0
0.7376,0.2718993127346039,0.06011451780796051,33.81161117553711,1.3079458475112915,13.523774147033691,6.055089473724365,63.943424224853516,170.8756561279297,0.0,0.0,0.0
0.8357,0.18313723802566528,0.059981442987918854,33.80042266845703,6.632007122039795,33.86775588989258,1.2110908031463623,29.569650650024414,63.42768859863281,0.0,0.0,0.0
0.9469,0.15193386375904083,0.060086317360401154,33.79011917114258,5.862773895263672,36.32975769042969,4.639377117156982,24.558839797973633,20.582162857055664,0.0,0.0,0.0
1.0,0.5940348505973816,0.06008244678378105,33.79037094116211,1.042241096496582,7.545176029205322,100.7968521118164,100.96398162841797,485.2449951171875,0.0,0.0,0.0
1.0728,0.22614586353302002,0.06012068688869476,33.78692626953125,2.6433279514312744,31.950246810913086,40.40910339355469,64.3293228149414,53.921504974365234,0.0,0.0,0.0
1.2155,0.34351781010627747,0.060062386095523834,33.806602478027344,1.5081043243408203,44.3536491394043,49.49327087402344,30.399728775024414,227.8101348876953,0.0,0.0,0.0
1.3772,0.1607276350259781,0.06011706590652466,33.81818771362305,1.418406367301941,17.02488136291504,12.936985969543457,2.9716873168945312,69.55750274658203,0.0,0.0,0.0
1.5604,0.28862541913986206,0.060124870389699936,33.80952072143555,1.492372989654541,37.60832214355469,1.692491054534912,135.49566650390625,102.24179077148438,0.0,0.0,0.0
1.768,0.23261672258377075,0.0601671040058136,33.794368743896484,2.0769577026367188,24.4138126373291,157.4600372314453,9.675183296203613,8.391861915588379,0.0,0.0,0.0
2.0032,0.5595799088478088,0.060076598078012466,33.790889739990234,1.0570406913757324,7.218650817871094,93.68511199951172,90.0807876586914,456.5166015625,0.0,0.0,0.0
2.2697,0.3299972712993622,0.060053735971450806,33.7968635559082,3.2199628353118896,18.038990020751953,8.186112403869629,135.5891571044922,170.0921630859375,0.0,0.0,0.0
2.5716,0.2735273838043213,0.06010277569293976,33.822784423828125,1.233574628829956,21.29592514038086,37.08160400390625,196.8659210205078,1.4565387964248657,0.0,0.0,0.0
2.9136,0.3912646770477295,0.060115620493888855,33.816776275634766,1.8510257005691528,45.97188949584961,1.598228096961975,156.17471313476562,213.0768585205078,0.0,0.0,0.0
3.3012,0.11920464038848877,0.05997582525014877,33.79955291748047,4.3841471672058105,23.843948364257812,8.254239082336426,1.9136008024215698,9.031449317932129,0.0,0.0,0.0
3.7404,0.18273963034152985,0.060009878128767014,33.79532241821289,5.070794105529785,37.22482681274414,2.182974100112915,88.1801986694336,1.4729856252670288,0.0,0.0,0.0
4.2379,0.19814527034759521,0.060103174299001694,33.78721618652344,4.0080437660217285,29.413503646850586,13.069961547851562,102.67455291748047,5.880836486816406,0.0,0.0,0.0
4.8016,0.3197103440761566,0.0600922517478466,33.806697845458984,0.996868908405304,34.22319412231445,83.97624969482422,98.9615707397461,102.86117553710938,0.0,0.0,0.0
5.4404,0.24004364013671875,0.06010274589061737,33.81758499145508,2.1212077140808105,14.79052734375,1.4984956979751587,9.522067070007324,184.2900390625,0.0,0.0,0.0
6.1641,0.17554038763046265,0.06010505184531212,33.80940628051758,1.6021509170532227,26.991594314575195,14.34912395477295,54.876949310302734,26.339126586914062,0.0,0.0,0.0
6.520287036895752,0.13543204963207245,0.06002432480454445,33.80049514770508,2.3474934101104736,16.895551681518555,31.699819564819336,12.324790954589844,6.248667240142822,0.0,0.0,0.01171875
6.984,0.7113504409790039,0.06017050892114639,33.796485900878906,3.942556619644165,63.776668548583984,102.1091537475586,55.8180046081543,629.995849609375,0.0,0.0,0.01171875
7.913,3.876342535018921,0.06011269614100456,33.787288665771484,1.3941097259521484,4.939350128173828,125.81820678710938,106.62039947509766,4938.22705078125,0.0,0.0,0.0234375
8.9656,10.869670867919922,0.06003116816282272,33.795143127441406,2.0900278091430664,40.15904998779297,32.386993408203125,2517.334228515625,12133.3564453125,0.0,0.0,0.0234375
10.1583,21.021949768066406,0.06010740250349045,32.74985885620117,2.0447747707366943,158.91859436035156,11.201153755187988,7288.18017578125,21127.166015625,0.0,0.0,0.0234375
11.5095,32.82855224609375,0.060107916593551636,26.739755630493164,1.8841724395751953,18.045724868774414,13.884544372558594,13556.97265625,31122.685546875,0.0,0.0,0.03515625
13.0406,46.09236145019531,0.0600244477391243,17.023008346557617,2.3477375507354736,16.89638328552246,570.1351318359375,20694.09375,41549.34765625,0.0,0.0,0.03515625
